gamma,low,time_scale,plant,severity,scenario,method,tracking
0,10,1,vy,moderate,shifted_double_lane,M1,0.040014421197460764
0,10,1,vy,moderate,shifted_double_lane,M2,0.04000613539368341
0,10,1,vy,moderate,shifted_double_lane,M3,0.02422517916886044
0,10,1,vy,moderate,shifted_double_lane,M4,0.024244970748797123
0,10,1,vy,near_linear,constant_22,M1,0.012300610196178754
0,10,1,vy,near_linear,constant_22,M2,0.012303325617627169
0,10,1,vy,near_linear,constant_22,M3,0.010553202525259006
0,10,1,vy,near_linear,constant_22,M4,0.010561600557427038
0,10,1,vy,near_linear,previous_s_curve,M1,0.020275451768680734
0,10,1,vy,near_linear,previous_s_curve,M2,0.02028863519963755
0,10,1,vy,near_linear,previous_s_curve,M3,0.015990107650612553
0,10,1,vy,near_linear,previous_s_curve,M4,0.016001613494505403
0,10,1,vy,near_linear,shifted_double_lane,M1,0.01918600065221117
0,10,1,vy,near_linear,shifted_double_lane,M2,0.019182710161927127
0,10,1,vy,near_linear,shifted_double_lane,M3,0.011348200934794779
0,10,1,vy,near_linear,shifted_double_lane,M4,0.0113582020791345
0,10,1,vy,strong,constant_22,M1,0.038482877330138186
0,10,1,vy,strong,constant_22,M2,0.03848960060633968
0,10,1,vy,strong,constant_22,M3,0.0331884590069407
0,10,1,vy,strong,constant_22,M4,0.033213431464987245
0,10,1,vy,strong,previous_s_curve,M1,0.06577106121902891
0,10,1,vy,strong,previous_s_curve,M2,0.06581323703515864
0,10,1,vy,strong,previous_s_curve,M3,0.05542996232955821
0,10,1,vy,strong,previous_s_curve,M4,0.055464614638529725
0,10,1,vy,strong,shifted_double_lane,M1,0.06692749517107499
0,10,1,vy,strong,shifted_double_lane,M2,0.06691193117813085
0,10,1,vy,strong,shifted_double_lane,M3,0.0427001354817674
0,10,1,vy,strong,shifted_double_lane,M4,0.04272954604592221
0,10,2,beta_noacc,moderate,constant_22,M1,0.008118402147544414
0,10,2,beta_noacc,moderate,constant_22,M2,0.00811998282047505
0,10,2,beta_noacc,moderate,constant_22,M3,0.006051463167993391
0,10,2,beta_noacc,moderate,constant_22,M4,0.00606384642308816
0,10,2,beta_noacc,moderate,previous_s_curve,M1,0.01727933916839181
0,10,2,beta_noacc,moderate,previous_s_curve,M2,0.017292236252149033
0,10,2,beta_noacc,moderate,previous_s_curve,M3,0.009259673199208743
0,10,2,beta_noacc,moderate,previous_s_curve,M4,0.00927372022131475
0,10,2,beta_noacc,moderate,shifted_double_lane,M1,0.015282981790004223
0,10,2,beta_noacc,moderate,shifted_double_lane,M2,0.015273344683125727
0,10,2,beta_noacc,moderate,shifted_double_lane,M3,0.006720589350229953
0,10,2,beta_noacc,moderate,shifted_double_lane,M4,0.006738693476034336
0,10,2,beta_noacc,near_linear,constant_22,M1,0.0040333081000643815
0,10,2,beta_noacc,near_linear,constant_22,M2,0.004034129216413619
0,10,2,beta_noacc,near_linear,constant_22,M3,0.0029846731845318067
0,10,2,beta_noacc,near_linear,constant_22,M4,0.0029907226516663952
0,10,2,beta_noacc,near_linear,previous_s_curve,M1,0.008571107434895931
0,10,2,beta_noacc,near_linear,previous_s_curve,M2,0.008577308515768782
0,10,2,beta_noacc,near_linear,previous_s_curve,M3,0.004415909674723131
0,10,2,beta_noacc,near_linear,previous_s_curve,M4,0.004422840710902067
0,10,2,beta_noacc,near_linear,shifted_double_lane,M1,0.007552011279490983
0,10,2,beta_noacc,near_linear,shifted_double_lane,M2,0.007547934715649839
0,10,2,beta_noacc,near_linear,shifted_double_lane,M3,0.0031853003947525356
0,10,2,beta_noacc,near_linear,shifted_double_lane,M4,0.003193468671786775
0,10,2,beta_noacc,strong,constant_22,M1,0.01236570916473548
0,10,2,beta_noacc,strong,constant_22,M2,0.012367936757958574
0,10,2,beta_noacc,strong,constant_22,M3,0.009348880369512562
0,10,2,beta_noacc,strong,constant_22,M4,0.009368250608080528
0,10,2,beta_noacc,strong,previous_s_curve,M1,0.02643816888045109
0,10,2,beta_noacc,strong,previous_s_curve,M2,0.026458829203702412
0,10,2,beta_noacc,strong,previous_s_curve,M3,0.0153190989866571
0,10,2,beta_noacc,strong,previous_s_curve,M4,0.01534046581901488
0,10,2,beta_noacc,strong,shifted_double_lane,M1,0.02401801863621689
0,10,2,beta_noacc,strong,shifted_double_lane,M2,0.023999358719837886
0,10,2,beta_noacc,strong,shifted_double_lane,M3,0.011692874056597437
0,10,2,beta_noacc,strong,shifted_double_lane,M4,0.011724732553823666
0,10,2,legacy,moderate,constant_22,M1,0.008118402147544414
0,10,2,legacy,moderate,constant_22,M2,0.008119982820475052
0,10,2,legacy,moderate,constant_22,M3,0.006051463167993391
0,10,2,legacy,moderate,constant_22,M4,0.006063846423088161
0,10,2,legacy,moderate,previous_s_curve,M1,0.017278565624258307
0,10,2,legacy,moderate,previous_s_curve,M2,0.01729145893339261
0,10,2,legacy,moderate,previous_s_curve,M3,0.009253749582790845
0,10,2,legacy,moderate,previous_s_curve,M4,0.009267785255069494
0,10,2,legacy,moderate,shifted_double_lane,M1,0.015285455028039739
0,10,2,legacy,moderate,shifted_double_lane,M2,0.015275823107815306
0,10,2,legacy,moderate,shifted_double_lane,M3,0.006724111026987944
0,10,2,legacy,moderate,shifted_double_lane,M4,0.0067422114737302466
0,10,2,legacy,near_linear,constant_22,M1,0.0040333081000643815
0,10,2,legacy,near_linear,constant_22,M2,0.004034129216413619
0,10,2,legacy,near_linear,constant_22,M3,0.002984673184531807
0,10,2,legacy,near_linear,constant_22,M4,0.0029907226516663952
0,10,2,legacy,near_linear,previous_s_curve,M1,0.008570758643466968
0,10,2,legacy,near_linear,previous_s_curve,M2,0.008576958125335824
0,10,2,legacy,near_linear,previous_s_curve,M3,0.004412878183469473
0,10,2,legacy,near_linear,previous_s_curve,M4,0.004419803735908711
0,10,2,legacy,near_linear,shifted_double_lane,M1,0.0075531841625684415
0,10,2,legacy,near_linear,shifted_double_lane,M2,0.007549110100117686
0,10,2,legacy,near_linear,shifted_double_lane,M3,0.003187093136100432
0,10,2,legacy,near_linear,shifted_double_lane,M4,0.0031952604391247397
0,10,2,legacy,strong,constant_22,M1,0.012365709164735481
0,10,2,legacy,strong,constant_22,M2,0.012367936757958574
0,10,2,legacy,strong,constant_22,M3,0.009348880369512563
0,10,2,legacy,strong,constant_22,M4,0.009368250608080527
0,10,2,legacy,strong,previous_s_curve,M1,0.02643717136100164
0,10,2,legacy,strong,previous_s_curve,M2,0.026457824105814542
0,10,2,legacy,strong,previous_s_curve,M3,0.01531139213563659
0,10,2,legacy,strong,previous_s_curve,M4,0.015332740304633309
0,10,2,legacy,strong,shifted_double_lane,M1,0.024022256527577987
0,10,2,legacy,strong,shifted_double_lane,M2,0.024003604106142034
0,10,2,legacy,strong,shifted_double_lane,M3,0.011698054749534116
0,10,2,legacy,strong,shifted_double_lane,M4,0.01172990231890712
0,10,2,vy,moderate,constant_22,M1,0.008118402147544414
0,10,2,vy,moderate,constant_22,M2,0.00811998282047505
0,10,2,vy,moderate,constant_22,M3,0.00605146316799339
0,10,2,vy,moderate,constant_22,M4,0.006063846423088161
0,10,2,vy,moderate,previous_s_curve,M1,0.017281481405261423
0,10,2,vy,moderate,previous_s_curve,M2,0.017294440796205558
0,10,2,vy,moderate,previous_s_curve,M3,0.00928565236389385
0,10,2,vy,moderate,previous_s_curve,M4,0.009299857159857802
0,10,2,vy,moderate,shifted_double_lane,M1,0.015281755040469207
0,10,2,vy,moderate,shifted_double_lane,M2,0.015272102105700782
0,10,2,vy,moderate,shifted_double_lane,M3,0.006713825650662664
0,10,2,vy,moderate,shifted_double_lane,M4,0.00673187910529796
0,10,2,vy,near_linear,constant_22,M1,0.0040333081000643815
0,10,2,vy,near_linear,constant_22,M2,0.004034129216413619
0,10,2,vy,near_linear,constant_22,M3,0.0029846731845318067
0,10,2,vy,near_linear,constant_22,M4,0.0029907226516663952
0,10,2,vy,near_linear,previous_s_curve,M1,0.008571480152377901
0,10,2,vy,near_linear,previous_s_curve,M2,0.008577708777147168
0,10,2,vy,near_linear,previous_s_curve,M3,0.004425049041888678
0,10,2,vy,near_linear,previous_s_curve,M4,0.004432052686759046
0,10,2,vy,near_linear,shifted_double_lane,M1,0.007551605509790668
0,10,2,vy,near_linear,shifted_double_lane,M2,0.00754752391682183
0,10,2,vy,near_linear,shifted_double_lane,M3,0.0031815205136441157
0,10,2,vy,near_linear,shifted_double_lane,M4,0.0031896626253221307
0,10,2,vy,strong,constant_22,M1,0.012365709164735481
0,10,2,vy,strong,constant_22,M2,0.012367936757958576
0,10,2,vy,strong,constant_22,M3,0.009348880369512563
0,10,2,vy,strong,constant_22,M4,0.009368250608080528
0,10,2,vy,strong,previous_s_curve,M1,0.0264540977517317
0,10,2,vy,strong,previous_s_curve,M2,0.026474861719354006
0,10,2,vy,strong,previous_s_curve,M3,0.01539537884762769
0,10,2,vy,strong,previous_s_curve,M4,0.015416992164413324
0,10,2,vy,strong,shifted_double_lane,M1,0.02402619613032704
0,10,2,vy,strong,shifted_double_lane,M2,0.024007477990692763
0,10,2,vy,strong,shifted_double_lane,M3,0.011695291569478019
0,10,2,vy,strong,shifted_double_lane,M4,0.011727042406194692
0,18,1,beta_noacc,moderate,constant_22,M1,0.022611103146107592
0,18,1,beta_noacc,moderate,constant_22,M2,0.02262733580564559
0,18,1,beta_noacc,moderate,constant_22,M3,0.02225059596095125
0,18,1,beta_noacc,moderate,constant_22,M4,0.02226852528477204
0,18,1,beta_noacc,moderate,previous_s_curve,M1,0.03310634966883411
0,18,1,beta_noacc,moderate,previous_s_curve,M2,0.033131712462783736
0,18,1,beta_noacc,moderate,previous_s_curve,M3,0.034288018237400804
0,18,1,beta_noacc,moderate,previous_s_curve,M4,0.0343118850397537
0,18,1,beta_noacc,moderate,shifted_double_lane,M1,0.029633576603221055
0,18,1,beta_noacc,moderate,shifted_double_lane,M2,0.029648294128308786
0,18,1,beta_noacc,moderate,shifted_double_lane,M3,0.02771081679692888
