seed,method,tracking,feasible,rho,steering_rms,peak_rate,worst_family,beta_prediction,yaw_prediction,parameter_relative_error
51,Family,0.0073364132945944365,1.0,0.9683170515237453,0.7963761311145805,1.1154046407174176,0.008109236860135326,0.03649517423201474,0.1615988695833763,0.027178283769748054
51,Global,0.011162278619987214,1.0,0.9669835713368624,0.7963898118728049,1.1147777664089835,0.012611876476810691,0.11897125278089443,0.3576783926370262,0.07473784426231742
51,Local,0.00661270153717057,1.0,0.9693760754444528,0.7963982337596996,1.115539152649813,0.006744717236248667,0.01958749769968639,0.04605736614394726,0.01372913088283521
51,LocalExtra,0.006606809295553553,1.0,0.9692446431943496,0.7963995720218346,1.1155507138245455,0.006713211751572184,0.01950088028866814,0.0458001726351058,0.005133346898966717
52,Family,0.0076032133195436166,1.0,0.9671658776200492,0.795901154096717,1.1439213960249286,0.00811345694975674,0.04164123867257823,0.14261817797048015,0.02596912010986873
52,Global,0.012045491781679364,1.0,0.9656305984777248,0.7959120869407171,1.1431805156983612,0.012761530784094763,0.11848917036010204,0.40286473645059045,0.0702256565628348
52,Local,0.006747218483068394,1.0,0.9676523738486926,0.7958881631820339,1.144153665781964,0.006954605389958643,0.024201105904261173,0.042577311812305,0.0171038973256189
52,LocalExtra,0.006637859139955873,1.0,0.9677184640218665,0.7958730544913147,1.144173991996715,0.006820020963678716,0.019550760532912086,0.04629656649743276,0.004934716430921823
53,Family,0.007654596584999364,1.0,0.9680938456900402,0.8170535832956625,1.1313743418484663,0.007790801933589086,0.03559771355072412,0.15731718566247727,0.026548191625953108
53,Global,0.0113623210789549,1.0,0.9664698300954412,0.8170706836559112,1.1307808446621286,0.0138178545711243,0.1123769420189644,0.33346868891054116,0.07285529898426463
53,Local,0.006806111917179292,1.0,0.9686736526126626,0.8170631211331318,1.131662970873044,0.00691314762951018,0.02112918702661528,0.04526791254818864,0.012723728363237735
53,LocalExtra,0.006774688874986589,1.0,0.9686870086077736,0.817060653591954,1.1316418678534528,0.006868723051269894,0.019890355429141925,0.04849191549258984,0.004127446366090537
54,Family,0.007553245327314878,1.0,0.9680990419704602,0.8187523834745688,1.1228805742531311,0.007936379633828176,0.03584939226222488,0.16089981745505613,0.027023275888162886
54,Global,0.010982703068596842,1.0,0.9670028604449288,0.8187693862437285,1.1222131628303391,0.011592092044951834,0.10943653103506147,0.31574645549756125,0.07235751667171668
54,Local,0.006701110346155186,1.0,0.9687201528303516,0.8187442352277692,1.1229806884785365,0.00683345936528042,0.01843859407107712,0.05286756377371784,0.017045647021432866
54,LocalExtra,0.006744321633213248,1.0,0.9687389859450904,0.818755960862718,1.1229802336155636,0.006894822403864383,0.01905337883684778,0.048604127542534056,0.003956720501774684
55,Family,0.007589639653866624,1.0,0.968854997302953,0.8098767546372122,1.1438506906247274,0.007827468933979146,0.040497025757560284,0.16018420793557128,0.02743716630192791
55,Global,0.012517832715128213,1.0,0.9669551979919722,0.8098978630467918,1.1431293911322695,0.014415525281426774,0.13028818387856214,0.4210245422398087,0.07823172882164
55,Local,0.006679761876677755,1.0,0.9691798459064724,0.8098952662336878,1.144101679383356,0.006799675728862686,0.018431395460731317,0.05152976288255567,0.013474515868323517
55,LocalExtra,0.006693836267476891,1.0,0.9690148026013776,0.809899369139343,1.1440838105300348,0.006799922062392373,0.01860215297630804,0.04897716301399001,0.004596259883066717
56,Family,0.007671850823251404,1.0,0.9687664350591174,0.8112904934864472,1.1663573116636383,0.008296000314276514,0.03583453739018797,0.16586698946076234,0.023830126742831824
56,Global,0.011997505680656629,1.0,0.9671608959517358,0.8113088464089354,1.1651360006655351,0.014315994250752953,0.12207737660563733,0.37269228471254556,0.07525956184755864
56,Local,0.006676805577638892,1.0,0.9693472978583472,0.8112811146311704,1.1670086217985436,0.006899157584309977,0.021599959723537912,0.048984408857307545,0.018698055766871065
56,LocalExtra,0.00663498760245474,1.0,0.9693457008309406,0.8112822248420016,1.1668319045211215,0.006765087978271633,0.01911397150735755,0.04923998853685514,0.00502930828995851
57,Family,0.007676344156399305,1.0,0.9680958879554424,0.809736751434848,1.1683306470265364,0.00782571573183618,0.03672115858246071,0.18251855868144343,0.02581950571749636
57,Global,0.011668892661672061,1.0,0.9663101581743526,0.8097523149173455,1.1671074817742777,0.01396716742316873,0.11275663144098025,0.3734158780370456,0.0703305209456326
57,Local,0.0066756548791949205,1.0,0.9686481023620382,0.8097409960555022,1.168724103989278,0.006776887016774679,0.019022602920668787,0.0506870398200144,0.01366707715142458
57,LocalExtra,0.006681625378192082,1.0,0.9685788009050676,0.8097460335895245,1.1688265271737377,0.006800837922720513,0.01951899026104643,0.04785746324084071,0.005001889104798557
58,Family,0.0075393591177230915,1.0,0.9674893242205164,0.8112317843955508,1.1454849947726455,0.00798381773479645,0.037076918808781584,0.14013074773497203,0.025886044178310245
58,Global,0.011854022621987625,1.0,0.965996692933819,0.811246975497651,1.144828707563604,0.012908869417813067,0.11914563214983528,0.3766571835293757,0.07014450552927086
58,Local,0.006705330482665702,1.0,0.9684766825777243,0.8112235317439603,1.1458116690238789,0.00687606000167325,0.02133691684938137,0.05162766998663477,0.01334271992937599
58,LocalExtra,0.006687460089123243,1.0,0.968512039714144,0.8112246325263043,1.1457774314039857,0.00677644663060926,0.020046395860527463,0.04725205039608981,0.005240416798208177
59,Family,0.007814307343442276,1.0,0.967980523937204,0.8150586956721483,1.1563364052350644,0.008156201465926043,0.03556656768287797,0.1579041383870828,0.026887948785204403
59,Global,0.01203362949507637,1.0,0.9663606438450988,0.8150785781738702,1.1550956303893776,0.013460834400373036,0.12218476945730328,0.36632246549342423,0.07702274574108131
59,Local,0.006738144285219978,1.0,0.9683450552981632,0.8150404544619935,1.1566830110859718,0.0068784473851238,0.019324308713174296,0.051720912580504035,0.014012407302139372
59,LocalExtra,0.0067067629516042995,1.0,0.9683135676846194,0.815040432180564,1.156491678265496,0.0067863922616831635,0.01868354002473145,0.04717553929798038,0.005153501472818617
60,Family,0.007707417496086453,1.0,0.9689621564440872,0.8127766037396972,1.156113864008487,0.008041529776615633,0.040040396172487586,0.1582976913837646,0.025083454287604307
60,Global,0.011922203902054219,1.0,0.9673805132332448,0.8127954587301506,1.1549647989065197,0.014246239394563997,0.12227552801629488,0.3689806616590904,0.07716945988208697
60,Local,0.006683515752302519,1.0,0.969108758706733,0.8127708433525866,1.156650425367064,0.006722692726098893,0.020646780638081532,0.051779318921519914,0.016097654838970486
60,LocalExtra,0.006656804574985104,1.0,0.9690203669483752,0.8127700861520708,1.1565908815494272,0.006718720716253994,0.01960008293282989,0.04948545022815306,0.0046758072182691264
