group,cf_over_m,cr_over_m,m_over_iz,scaled_jacobian_condition,cost,multistart_relative_difference,seed
global,50.12833951867789,52.45662930174484,0.3719312668400497,1.2969171543886757,32.15206707023921,1.7647789017880217e-07,11
nominal,52.67816276109728,52.44646907125026,0.5553951476850956,1.7366009310357915,1.4235749524196817,1.8592793973558721e-09,11
heavy,48.20385493303196,45.95287835797875,0.5430655921250597,1.7151244566851498,1.6174952090455883,3.5806133112427285e-10,11
handling,50.45871428891762,61.14217843728987,0.577926627455082,1.7861893974974168,2.217493708879291,6.815521666773801e-11,11
