seed,severity,scenario,method,tracking,worst_family,feasible,peak_steering_rate,rho
11,near_linear,previous_s_curve,M1,0.019871968695152693,0.02146566001703248,1.0,1.0987534398640548,0.9622891750539063
11,near_linear,previous_s_curve,M2,0.01819108289225416,0.018495653559789223,1.0,1.102472082656416,0.9648492078700812
11,near_linear,previous_s_curve,M3,0.01844444438494747,0.02195423265861362,1.0,1.1026470509383903,0.9645436443693723
11,near_linear,previous_s_curve,M4,0.016471465902153724,0.01761805813579073,1.0,1.1063436459737885,0.9664057472476054
11,near_linear,previous_s_curve,M5,0.02025982474095876,0.02069336566862463,1.0,11.36071327233275,0.9664057472476054
11,near_linear,previous_s_curve,LTI_all,0.019330633133870883,0.0265127576474004,1.0,1.1022169632671732,0.9591020768103452
11,near_linear,previous_s_curve,LTI_near,0.01828809038247522,0.024560038872216895,1.0,1.102236999201008,0.9594765854234739
11,near_linear,previous_s_curve,physics_M4,0.016597796604569448,0.01772909563370501,1.0,1.106846361349755,0.9663947681995207
11,near_linear,shifted_double_lane,M1,0.01983042535314585,0.02708782899835293,1.0,0.9183495420189302,0.9622891750539063
11,near_linear,shifted_double_lane,M2,0.018451223518199954,0.019089972288899654,1.0,0.9229287402646783,0.9648492078700812
11,near_linear,shifted_double_lane,M3,0.014458783491156648,0.017965168688404858,1.0,0.9157076558945845,0.9645436443693723
11,near_linear,shifted_double_lane,M4,0.01224049551517602,0.012795385501668782,1.0,0.920186753445047,0.9664057472476054
11,near_linear,shifted_double_lane,M5,0.01566035947504199,0.01673321683939486,1.0,7.862095501864232,0.9664057472476054
11,near_linear,shifted_double_lane,LTI_all,0.018387734861394025,0.027140512088979517,1.0,0.9192264031162489,0.9591020768103452
11,near_linear,shifted_double_lane,LTI_near,0.017146765641567193,0.02528959232046312,1.0,0.9188883677287258,0.9594765854234739
11,near_linear,shifted_double_lane,physics_M4,0.012060189154535456,0.01257989941952484,1.0,0.9201442240037246,0.9663947681995207
11,near_linear,constant_22,M1,0.014194711602158617,0.018842903846797803,1.0,0.956195106025213,0.9622891750539063
11,near_linear,constant_22,M2,0.01233558815488011,0.012992418615298696,1.0,0.9587469461839846,0.9648492078700812
11,near_linear,constant_22,M3,0.013046557287254245,0.015929076757875325,1.0,0.9554644684156429,0.9645436443693723
11,near_linear,constant_22,M4,0.010925400578999664,0.011557600012546096,1.0,0.9580056226576007,0.9664057472476054
11,near_linear,constant_22,M5,0.01233558815488011,0.012992418615298696,1.0,0.9587469461839846,0.9664057472476054
11,near_linear,constant_22,LTI_all,0.012436102076590645,0.01780284053335368,1.0,0.9567332512963164,0.9591020768103452
11,near_linear,constant_22,LTI_near,0.011736750214166172,0.016700818344912282,1.0,0.9565292642267311,0.9594765854234739
11,near_linear,constant_22,physics_M4,0.011021728216599856,0.011637308864929748,1.0,0.9580909572437009,0.9663947681995207
11,near_linear,all,M1,0.017965701883485723,0.022214752952204826,1.0,1.0987534398640548,0.9622891750539063
11,near_linear,all,M2,0.01632596485511141,0.016743939609600963,1.0,1.102472082656416,0.9648492078700812
11,near_linear,all,M3,0.015316595054452788,0.018616159368297934,1.0,1.1026470509383903,0.9645436443693723
11,near_linear,all,M4,0.01321245399877647,0.0139903478833352,1.0,1.1063436459737885,0.9664057472476054
11,near_linear,all,M5,0.016085257456960284,0.01658586514235779,1.0,11.36071327233275,0.9664057472476054
11,near_linear,all,LTI_all,0.01671815669061852,0.023818703423244533,1.0,1.1022169632671732,0.9591020768103452
11,near_linear,all,LTI_near,0.015723868746069528,0.02218348317919743,1.0,1.102236999201008,0.9594765854234739
11,near_linear,all,physics_M4,0.013226571325234918,0.013982101306053197,1.0,1.106846361349755,0.9663947681995207
11,moderate,previous_s_curve,M1,0.04101486061904585,0.04382313717650317,1.0,2.205396348710536,0.9622891750539063
11,moderate,previous_s_curve,M2,0.03758438252480583,0.03836338674515357,1.0,2.212918005469464,0.9648492078700812
11,moderate,previous_s_curve,M3,0.03851420874629121,0.04595239685924437,1.0,2.2132393195962194,0.9645436443693723
11,moderate,previous_s_curve,M4,0.034532561471797014,0.03691880536248761,1.0,2.2222321178888795,0.9664057472476054
11,moderate,previous_s_curve,M5,0.04230355774010871,0.0431240673883196,1.0,22.942103345234088,0.9664057472476054
11,moderate,previous_s_curve,LTI_all,0.03972133392083353,0.054346732221781636,1.0,2.2124036386898482,0.9591020768103452
11,moderate,previous_s_curve,LTI_near,0.03765792584090203,0.05047801146068546,1.0,2.21246266854265,0.9594765854234739
11,moderate,previous_s_curve,physics_M4,0.03477927071161658,0.037132603836052505,1.0,2.221773965324906,0.9663947681995207
11,moderate,shifted_double_lane,M1,0.04151052056787026,0.05670092168683601,1.0,1.8747126937831051,0.9622891750539063
11,moderate,shifted_double_lane,M2,0.03846116554622458,0.039615269343642796,1.0,1.8847833509737522,0.9648492078700812
11,moderate,shifted_double_lane,M3,0.030655393362100887,0.038150190045915564,1.0,1.8687001243580383,0.9645436443693723
11,moderate,shifted_double_lane,M4,0.02600969146699124,0.027096807168860017,1.0,1.8785104374588084,0.9664057472476054
11,moderate,shifted_double_lane,M5,0.03324388100130026,0.03546666471573505,1.0,15.74572635185152,0.9664057472476054
11,moderate,shifted_double_lane,LTI_all,0.03865225129331164,0.058488253218542695,1.0,1.8759457266784336,0.9591020768103452
11,moderate,shifted_double_lane,LTI_near,0.03585922842471551,0.05429085251655591,1.0,1.8750691259884726,0.9594765854234739
11,moderate,shifted_double_lane,physics_M4,0.025597193372641783,0.026606509851039722,1.0,1.8783421346737086,0.9663947681995207
11,moderate,constant_22,M1,0.028824810644111097,0.03826971837995703,1.0,1.914674666787486,0.9622891750539063
11,moderate,constant_22,M2,0.024995417705918524,0.02633551896009793,1.0,1.9196002815235569,0.9648492078700812
11,moderate,constant_22,M3,0.026510652507543555,0.0323897989143774,1.0,1.9132761282631667,0.9645436443693723
11,moderate,constant_22,M4,0.022172864458195204,0.023443793596404954,1.0,1.9181219224561312,0.9664057472476054
11,moderate,constant_22,M5,0.024995417705918524,0.02633551896009793,1.0,1.9196002815235569,0.9664057472476054
11,moderate,constant_22,LTI_all,0.025269478305841402,0.03648585123706044,1.0,1.9159432181168434,0.9591020768103452
11,moderate,constant_22,LTI_near,0.023816735054619162,0.034187982569307176,1.0,1.915556838331553,0.9594765854234739
11,moderate,constant_22,physics_M4,0.022363309893094707,0.02360048450217616,1.0,1.9182782041861017,0.9663947681995207
11,moderate,all,M1,0.0371167306103424,0.04603770038877987,1.0,2.205396348710536,0.9622891750539063
11,moderate,all,M2,0.03368032192564965,0.03463666308335171,1.0,2.212918005469464,0.9648492078700812
11,moderate,all,M3,0.03189341820531189,0.03883079527317912,1.0,2.2132393195962194,0.9645436443693723
11,moderate,all,M4,0.02757170579899448,0.029153135375917523,1.0,2.2222321178888795,0.9664057472476054
11,moderate,all,M5,0.0335142854824425,0.03451882263622124,1.0,22.942103345234088,0.9664057472476054
11,moderate,all,LTI_all,0.03454768783999552,0.04977361222579492,1.0,2.2124036386898482,0.9591020768103452
11,moderate,all,LTI_near,0.03244462977341223,0.04631894884884951,1.0,2.21246266854265,0.9594765854234739
11,moderate,all,physics_M4,0.02757992465911769,0.029113199396422797,1.0,2.221773965324906,0.9663947681995207
11,strong,previous_s_curve,M1,0.06563863655880184,0.0702758016327334,1.0,3.333426012502385,0.9622891750539063
11,strong,previous_s_curve,M2,0.06035589657337619,0.06201511518545509,1.0,3.353967176581073,0.9648492078700812
11,strong,previous_s_curve,M3,0.06287340290768861,0.07536342482411748,1.0,3.347005281787734,0.9645436443693723
11,strong,previous_s_curve,M4,0.05687539278818748,0.060724488742972246,1.0,3.371731247583479,0.9664057472476054
11,strong,previous_s_curve,M5,0.0691154904222688,0.07032777443279628,1.0,34.98624364826539,0.9664057472476054
11,strong,previous_s_curve,LTI_all,0.06321084249786198,0.08621537802583515,1.0,3.3399274900538094,0.9591020768103452
11,strong,previous_s_curve,LTI_near,0.06012788348134622,0.08041646068805348,1.0,3.3400722959330125,0.9594765854234739
11,strong,previous_s_curve,physics_M4,0.05724246606094209,0.06103426285100564,1.0,3.370893233646264,0.9663947681995207
11,strong,shifted_double_lane,M1,0.06898578425691039,0.09388916162037475,1.0,2.921658017998931,0.9622891750539063
11,strong,shifted_double_lane,M2,0.0637864111383168,0.06539753889800358,1.0,2.939355767232988,0.9648492078700812
11,strong,shifted_double_lane,M3,0.05212621790211436,0.0651665185759438,1.0,2.910603232896755,0.9645436443693723
11,strong,shifted_double_lane,M4,0.04485398088179098,0.04647434446297862,1.0,2.9279960089033246,0.9664057472476054
11,strong,shifted_double_lane,M5,0.05683765525429175,0.06044329670746181,1.0,23.663377850129066,0.9664057472476054
11,strong,shifted_double_lane,LTI_all,0.06489940669144433,0.10154185423513092,1.0,2.921327700038656,0.9591020768103452
11,strong,shifted_double_lane,LTI_near,0.059804686079293234,0.09374302867268039,1.0,2.9193536837362553,0.9594765854234739
11,strong,shifted_double_lane,physics_M4,0.0440961508815101,0.04557466280743332,1.0,2.927467967076399,0.9663947681995207
11,strong,constant_22,M1,0.04456230200079091,0.05918099950564104,1.0,2.8784865974190357,0.9622891750539063
11,strong,constant_22,M2,0.038536829312774225,0.0406291069888758,1.0,2.8852555648804543,0.9648492078700812
11,strong,constant_22,M3,0.04103011963192682,0.05021949969688335,1.0,2.876469736848406,0.9645436443693723
11,strong,constant_22,M4,0.034282002732003845,0.03621572043782374,1.0,2.8831388203172987,0.9664057472476054
11,strong,constant_22,M5,0.038536829312774225,0.0406291069888758,1.0,2.8852555648804543,0.9664057472476054
11,strong,constant_22,LTI_all,0.03918436552445808,0.05741504470334972,1.0,2.8807281335970765,0.9591020768103452
11,strong,constant_22,LTI_near,0.03684712923067005,0.05367789737006692,1.0,2.880213145668559,0.9594765854234739
11,strong,constant_22,physics_M4,0.03456377520083936,0.03644538354322803,1.0,2.8833343891275325,0.9663947681995207
11,strong,all,M1,0.05972890760550106,0.0744486542529164,1.0,3.333426012502385,0.9622891750539063
11,strong,all,M2,0.05422637900815574,0.056013920357444826,1.0,3.353967176581073,0.9648492078700812
11,strong,all,M3,0.052009913480576604,0.06358314769898153,1.0,3.347005281787734,0.9645436443693723
11,strong,all,M4,0.04533712546732743,0.04780485121459154,1.0,3.371731247583479,0.9664057472476054
11,strong,all,M5,0.05482999166311161,0.056377534431338104,1.0,34.98624364826539,0.9664057472476054
11,strong,all,LTI_all,0.05576487157125479,0.0817240923214386,1.0,3.3399274900538094,0.9591020768103452
11,strong,all,LTI_near,0.05225989959710317,0.0759457955769336,1.0,3.3400722959330125,0.9594765854234739
11,strong,all,physics_M4,0.04530079738109718,0.047684769733888986,1.0,3.370893233646264,0.9663947681995207
12,near_linear,previous_s_curve,M1,0.02021641053869554,0.022407631759682273,1.0,1.118714565663992,0.960389847683375
12,near_linear,previous_s_curve,M2,0.018447357979649096,0.01884131529676308,1.0,1.1256197762234919,0.9632570851838423
12,near_linear,previous_s_curve,M3,0.018830142267785736,0.02136167644772817,1.0,1.1231773245590289,0.962911214849271
12,near_linear,previous_s_curve,M4,0.01671727943745098,0.017194497021607726,1.0,1.1315737108002133,0.9649686690093948
12,near_linear,previous_s_curve,M5,0.020516231411045346,0.021113647160357584,1.0,11.540377874446907,0.9649686690093948
12,near_linear,previous_s_curve,LTI_all,0.021651653796751713,0.03641725786287513,1.0,1.122364821005204,0.9638593803843837
12,near_linear,previous_s_curve,LTI_near,0.0204320786605257,0.0334159324556471,1.0,1.1223655191749244,0.9625296760404495
12,near_linear,previous_s_curve,physics_M4,0.01682855394232233,0.017234533616111956,1.0,1.131355832834965,0.9650138386178132
12,near_linear,shifted_double_lane,M1,0.020214014901357803,0.02642310934758805,1.0,0.9470016719122939,0.960389847683375
12,near_linear,shifted_double_lane,M2,0.018602200347182133,0.019081780183108736,1.0,0.9519663534774329,0.9632570851838423
12,near_linear,shifted_double_lane,M3,0.01495679387985408,0.017394014385597588,1.0,0.9442286053461999,0.962911214849271
12,near_linear,shifted_double_lane,M4,0.01250085293392502,0.01266336356587941,1.0,0.949126707690208,0.9649686690093948
12,near_linear,shifted_double_lane,M5,0.01594413392941069,0.017078654118604743,1.0,8.009300332915831,0.9649686690093948
12,near_linear,shifted_double_lane,LTI_all,0.020833862113790864,0.03694153911718421,1.0,0.9478111181494232,0.9638593803843837
12,near_linear,shifted_double_lane,LTI_near,0.019514837710240103,0.03459684406195341,1.0,0.9474470444858668,0.9625296760404495
12,near_linear,shifted_double_lane,physics_M4,0.012305087086442883,0.012520496209153548,1.0,0.9490883080483813,0.9650138386178132
12,near_linear,constant_22,M1,0.014588902306874207,0.018252789564369428,1.0,0.9813454763419417,0.960389847683375
12,near_linear,constant_22,M2,0.012503756892861042,0.012787158552593042,1.0,0.984096389124703,0.9632570851838423
12,near_linear,constant_22,M3,0.013449421473396648,0.015405715144607915,1.0,0.9805774171714705,0.962911214849271
12,near_linear,constant_22,M4,0.011143590449259656,0.011242822666421074,1.0,0.983331232262818,0.9649686690093948
12,near_linear,constant_22,M5,0.012503756892861042,0.012787158552593042,1.0,0.984096389124703,0.9649686690093948
12,near_linear,constant_22,LTI_all,0.014030551048391753,0.02346776385341984,1.0,0.9817989349788926,0.9638593803843837
12,near_linear,constant_22,LTI_near,0.01326030924701569,0.021999762465400342,1.0,0.9815785441651368,0.9625296760404495
12,near_linear,constant_22,physics_M4,0.011221988319833193,0.011329200169964937,1.0,0.9834220928039986,0.9650138386178132
12,near_linear,all,M1,0.018339775915642516,0.021682856519206654,1.0,1.118714565663992,0.960389847683375
12,near_linear,all,M2,0.016517771739897425,0.01678798417628346,1.0,1.1256197762234919,0.9632570851838423
12,near_linear,all,M3,0.01574545254034549,0.018053801992644558,1.0,1.1231773245590289,0.962911214849271
12,near_linear,all,M4,0.013453907606878554,0.01350314550711124,1.0,1.1315737108002133,0.9649686690093948
12,near_linear,all,M5,0.016321374077772358,0.01688086502308287,1.0,11.540377874446907,0.9649686690093948
12,near_linear,all,LTI_all,0.01883868898631144,0.032275520277826396,1.0,1.122364821005204,0.9638593803843837
12,near_linear,all,LTI_near,0.017735741872593837,0.030004179661000278,1.0,1.1223655191749244,0.9625296760404495
12,near_linear,all,physics_M4,0.0134518764495328,0.01348731695608558,1.0,1.131355832834965,0.9650138386178132
12,moderate,previous_s_curve,M1,0.041720125388810876,0.04573823342949448,1.0,2.2560146016477356,0.960389847683375
12,moderate,previous_s_curve,M2,0.03811014292543546,0.03881441304694098,1.0,2.27054172003561,0.9632570851838423
12,moderate,previous_s_curve,M3,0.03930186467680618,0.04474057870670871,1.0,2.265197677884111,0.962911214849271
12,moderate,previous_s_curve,M4,0.035038710851413656,0.03602902942639294,1.0,2.282575645013158,0.9649686690093948
12,moderate,previous_s_curve,M5,0.04283312888779431,0.04399866333251346,1.0,23.299324608139333,0.9649686690093948
12,moderate,previous_s_curve,LTI_all,0.04429849533980574,0.07390303093202874,1.0,2.261774961003281,0.9638593803843837
12,moderate,previous_s_curve,LTI_near,0.04190723278115975,0.06803156319806399,1.0,2.260828694092331,0.9625296760404495
12,moderate,previous_s_curve,physics_M4,0.03525406547035118,0.036102099277879454,1.0,2.282137823223579,0.9650138386178132
12,moderate,shifted_double_lane,M1,0.042326153937109284,0.05533201680216667,1.0,1.9340673025091182,0.960389847683375
12,moderate,shifted_double_lane,M2,0.038787090974065776,0.03979748646509071,1.0,1.9449661125308257,0.9632570851838423
12,moderate,shifted_double_lane,M3,0.03169841229487132,0.03699097510400519,1.0,1.9277306005392987,0.962911214849271
12,moderate,shifted_double_lane,M4,0.02656643748162824,0.026947099701624122,1.0,1.9384556214890816,0.9649686690093948
12,moderate,shifted_double_lane,M5,0.03384803063741775,0.03619963884648562,1.0,16.03978097642035,0.9649686690093948
12,moderate,shifted_double_lane,LTI_all,0.04401663900859585,0.08058095063110274,1.0,1.9348064493547448,0.9638593803843837
12,moderate,shifted_double_lane,LTI_near,0.04106872031621298,0.07526267107365861,1.0,1.933860648118745,0.9625296760404495
12,moderate,shifted_double_lane,physics_M4,0.026119709486118244,0.02665874980776705,1.0,1.9382963157715076,0.9650138386178132
12,moderate,constant_22,M1,0.029626548892337793,0.03707530426157453,1.0,1.9651136497743997,0.960389847683375
12,moderate,constant_22,M2,0.025338480157558522,0.025920329142204608,1.0,1.970434444494024,0.9632570851838423
12,moderate,constant_22,M3,0.02732916871688471,0.0313309065572567,1.0,1.9636378756922659,0.962911214849271
12,moderate,constant_22,M4,0.022617745330541734,0.022822157927824306,1.0,1.968908611369555,0.9649686690093948
12,moderate,constant_22,M5,0.025338480157558522,0.025920329142204608,1.0,1.970434444494024,0.9649686690093948
12,moderate,constant_22,LTI_all,0.028539770792820888,0.048253509253028314,1.0,1.9662591160296101,0.9638593803843837
12,moderate,constant_22,LTI_near,0.026958229318229936,0.045232458991022906,1.0,1.9658436198954303,0.9625296760404495
12,moderate,constant_22,physics_M4,0.022771458754139013,0.022992820104988907,1.0,1.9690753724149839,0.9650138386178132
12,moderate,all,M1,0.037890942739419314,0.044940843136398095,1.0,2.2560146016477356,0.960389847683375
12,moderate,all,M2,0.03407857135235325,0.03454049175686662,1.0,2.27054172003561,0.9632570851838423
12,moderate,all,M3,0.0327764818961874,0.037687486789323536,1.0,2.265197677884111,0.962911214849271
12,moderate,all,M4,0.028074297887861213,0.028151738239344713,1.0,2.282575645013158,0.9649686690093948
12,moderate,all,M5,0.03400654656092353,0.035136208224966145,1.0,23.299324608139333,0.9649686690093948
12,moderate,all,LTI_all,0.038951635047074155,0.0675791636053866,1.0,2.261774961003281,0.9638593803843837
12,moderate,all,LTI_near,0.036644727471867554,0.06284223108758184,1.0,2.260828694092331,0.9625296760404495
12,moderate,all,physics_M4,0.02804841123686948,0.028114850254716557,1.0,2.282137823223579,0.9650138386178132
12,strong,previous_s_curve,M1,0.06674865333934989,0.07145508190447881,1.0,3.4240860267154147,0.960389847683375
12,strong,previous_s_curve,M2,0.06118693716451404,0.06202253468771526,1.0,3.4464339791277765,0.9632570851838423
12,strong,previous_s_curve,M3,0.06410285028942517,0.07347251298866136,1.0,3.438235841130339,0.962911214849271
12,strong,previous_s_curve,M4,0.05767955750644217,0.059246204997957005,1.0,3.4648554577288113,0.9649686690093948
12,strong,previous_s_curve,M5,0.06996427925282699,0.07167257011846828,1.0,35.51606968123487,0.9649686690093948
12,strong,previous_s_curve,LTI_all,0.07006923662112473,0.11541253622827077,1.0,3.429355894433177,0.9638593803843837
12,strong,previous_s_curve,LTI_near,0.06656498519818735,0.10683687648667647,1.0,3.4276188945632824,0.9625296760404495
12,strong,previous_s_curve,physics_M4,0.05799584557476365,0.059349675502450294,1.0,3.464014544249337,0.9650138386178132
12,strong,shifted_double_lane,M1,0.07034606880766495,0.09174068378477192,1.0,3.0167409078215313,0.960389847683375
12,strong,shifted_double_lane,M2,0.0643671297379265,0.06597658514924527,1.0,3.035836794079924,0.9632570851838423
12,strong,shifted_double_lane,M3,0.053824586564349075,0.0633880949333612,1.0,3.0050999050467078,0.962911214849271
12,strong,shifted_double_lane,M4,0.04579501334414957,0.04667083493304049,1.0,3.024013108237249,0.9649686690093948
12,strong,shifted_double_lane,M5,0.057859837388339025,0.06167983511708765,1.0,24.10348735333185,0.9649686690093948
12,strong,shifted_double_lane,LTI_all,0.07456601383748175,0.14252568411232652,1.0,3.0146760722913624,0.9638593803843837
12,strong,shifted_double_lane,LTI_near,0.0692248116792432,0.1325416239337719,1.0,3.0125381972375482,0.9625296760404495
12,strong,shifted_double_lane,physics_M4,0.04497673148000354,0.04613984991216941,1.0,3.023499292442057,0.9650138386178132
12,strong,constant_22,M1,0.04580004998633127,0.05735096563520166,1.0,2.9545539151274247,0.960389847683375
12,strong,constant_22,M2,0.03906956267939333,0.03998020903288194,1.0,2.9618567946450316,0.9632570851838423
12,strong,constant_22,M3,0.04229252000888357,0.04859783360071408,1.0,2.952413278572812,0.962911214849271
12,strong,constant_22,M4,0.034971576277016615,0.03529416736941095,1.0,2.959668502385178,0.9649686690093948
12,strong,constant_22,M5,0.03906956267939333,0.03998020903288194,1.0,2.9618567946450316,0.9649686690093948
