seed,budget,method,tracking,feasible
211,1.25,GlobalK1,0.011113540047238218,1.0
211,1.25,LearnedCenter,0.008340694178818735,1.0
211,1.25,Local,0.007547305418295046,1.0
211,1.25,OracleFamilyRank2,0.007501075201900137,1.0
212,0.75,CentralRank1,0.009315664501576462,1.0
212,0.75,CentralRank2,0.0109467966889479,1.0
212,0.75,ExactIndividual,0.006673088430260716,1.0
212,0.75,Fed20Rank1,0.009144318330004432,1.0
212,0.75,Fed20Rank2,0.011002075002653608,1.0
212,0.75,GlobalK1,0.010939866896816136,1.0
212,0.75,LearnedCenter,0.009736327975089583,1.0
212,0.75,Local,0.010877917175414994,1.0
212,0.75,OracleFamilyRank2,0.009644808913348572,1.0
212,1.25,CentralRank1,0.007556930422149441,1.0
212,1.25,CentralRank2,0.007229904450075889,1.0
212,1.25,ExactIndividual,0.006673088430260716,1.0
212,1.25,Fed20Rank1,0.0074707212503707845,1.0
212,1.25,Fed20Rank2,0.007211991460760423,1.0
212,1.25,GlobalK1,0.010939866896816136,1.0
212,1.25,LearnedCenter,0.007526563328978927,1.0
212,1.25,Local,0.007122573147101261,1.0
212,1.25,OracleFamilyRank2,0.007167165374343888,1.0
213,0.75,CentralRank1,0.010429840023682703,1.0
213,0.75,CentralRank2,0.012256185237351249,1.0
213,0.75,ExactIndividual,0.006662067289923473,1.0
213,0.75,Fed20Rank1,0.010429840040889734,1.0
213,0.75,Fed20Rank2,0.01225618488395646,1.0
213,0.75,GlobalK1,0.012349995331205697,1.0
213,0.75,LearnedCenter,0.011342028337687575,1.0
213,0.75,Local,0.012169669646836747,1.0
213,0.75,OracleFamilyRank2,0.012166961770534421,1.0
213,1.25,CentralRank1,0.007718813407539714,1.0
213,1.25,CentralRank2,0.008155402933541764,1.0
213,1.25,ExactIndividual,0.006662067289923473,1.0
213,1.25,Fed20Rank1,0.0077188134127291405,1.0
213,1.25,Fed20Rank2,0.008155402917941717,1.0
213,1.25,GlobalK1,0.012349995331205697,1.0
213,1.25,LearnedCenter,0.008092376285567034,1.0
213,1.25,Local,0.008020949931939319,1.0
213,1.25,OracleFamilyRank2,0.007962914957946434,1.0
214,0.75,CentralRank1,0.01128175667653864,1.0
214,0.75,CentralRank2,0.014369685109782374,1.0
214,0.75,ExactIndividual,0.0066725533277300275,1.0
214,0.75,Fed20Rank1,0.011084791576287785,1.0
214,0.75,Fed20Rank2,0.014649085020166049,1.0
214,0.75,GlobalK1,0.011261002380323253,1.0
214,0.75,LearnedCenter,0.010705373195249385,1.0
214,0.75,Local,0.014110938928997256,1.0
214,0.75,OracleFamilyRank2,0.013262940092535537,1.0
214,1.25,CentralRank1,0.007396418250526578,1.0
214,1.25,CentralRank2,0.007683153747138814,1.0
214,1.25,ExactIndividual,0.0066725533277300275,1.0
214,1.25,Fed20Rank1,0.00741705657897957,1.0
214,1.25,Fed20Rank2,0.007725891900913825,1.0
214,1.25,GlobalK1,0.011261002380323253,1.0
214,1.25,LearnedCenter,0.008049083283568396,1.0
214,1.25,Local,0.00779189406740305,1.0
214,1.25,OracleFamilyRank2,0.007612025030376248,1.0
215,0.75,CentralRank1,0.01102762654933194,1.0
215,0.75,CentralRank2,0.012054772657058718,1.0
215,0.75,ExactIndividual,0.006624257052814398,1.0
215,0.75,Fed20Rank1,0.010913925739735646,1.0
215,0.75,Fed20Rank2,0.011769677838695368,1.0
215,0.75,GlobalK1,0.012511890265727894,1.0
215,0.75,LearnedCenter,0.010373268522741813,1.0
215,0.75,Local,0.012041203649309764,1.0
215,0.75,OracleFamilyRank2,0.011835056476517673,1.0
215,1.25,CentralRank1,0.007252632018716732,1.0
215,1.25,CentralRank2,0.0072603352845459525,1.0
215,1.25,ExactIndividual,0.006624257052814398,1.0
215,1.25,Fed20Rank1,0.007489404668025382,1.0
215,1.25,Fed20Rank2,0.007320792764254283,1.0
215,1.25,GlobalK1,0.012511890265727894,1.0
215,1.25,LearnedCenter,0.007752054180409023,1.0
215,1.25,Local,0.007345973420204528,1.0
215,1.25,OracleFamilyRank2,0.007300620978235785,1.0
