case,client,speed,rho,error_a,error_b,k_beta,k_yaw,k_integral,prefilter
nonlinear_all_original,nominal_00,12.0,0.9257723940854631,0.21157094841638915,0.11260190139375659,1.4586905177691531,0.789251764490926,5.99227978180301,1.127405166583086
nonlinear_all_original,nominal_00,12.1,0.9262443420923178,0.2091536269188956,0.12398717963440462,1.4611075534754059,0.796058336445199,5.998842028695828,1.1301013597108656
nonlinear_all_original,nominal_00,12.2,0.9267103566008723,0.2067871264563578,0.13526144809234952,1.4635245891816584,0.8028649083994719,6.005404275588646,1.132797552838645
nonlinear_all_original,nominal_00,12.3,0.9271705562754391,0.20446964633386397,0.14640297611497913,1.4659416248879111,0.8096714803537449,6.011966522481463,1.1354937459664245
nonlinear_all_original,nominal_00,12.4,0.9276250558537705,0.20219947373752564,0.15739832934640824,1.4683586605941636,0.8164780523080178,6.018528769374281,1.138189939094204
nonlinear_all_original,nominal_00,12.5,0.9280739663475345,0.19997497863327512,0.1682393779456103,1.4707756963004164,0.8232846242622909,6.0250910162670985,1.1408861322219834
nonlinear_all_original,nominal_00,12.6,0.9285173952300093,0.19779460899777646,0.1789214795696719,1.473192732006669,0.8300911962165638,6.0316532631599165,1.143582325349763
nonlinear_all_original,nominal_00,12.7,0.9289554466118449,0.1956568863579158,0.18944233756183676,1.4756097677129216,0.8368977681708367,6.038215510052734,1.1462785184775426
nonlinear_all_original,nominal_00,12.8,0.929388221405732,0.1935604016171225,0.19980126167524204,1.4780268034191741,0.8437043401251098,6.044777756945551,1.148974711605322
nonlinear_all_original,nominal_00,12.9,0.9298158174807056,0.19150381114841705,0.20999867674463815,1.4804438391254269,0.8505109120793827,6.051340003838369,1.1516709047331015
nonlinear_all_original,nominal_00,13.0,0.9302383298068245,0.1894858331355894,0.22003578860007372,1.4828608748316796,0.8573174840336556,6.057902250731187,1.154367097860881
nonlinear_all_original,nominal_00,13.1,0.9306558505908546,0.18750524414530462,0.22991435232586083,1.4852779105379321,0.8641240559879285,6.064464497624005,1.1570632909886605
nonlinear_all_original,nominal_00,13.2,0.9310684694035956,0.1855608759142106,0.23963650870053432,1.4876949462441849,0.8709306279422014,6.071026744516823,1.15975948411644
nonlinear_all_original,nominal_00,13.3,0.9314762732994003,0.1836516123363019,0.2492046670140537,1.4901119819504374,0.8777371998964745,6.07758899140964,1.1624556772442196
