gamma,low,high,time_scale,plant,severity,method,mean,std,worst_family,steering_rms,peak_rate,feasible
0,10,30,1,legacy,strong,M3,0.04365545913409487,0.0009280909119711498,0.044622776153495095,1.1549536142154173,3.197668054163588,1.0
0,10,30,1,legacy,strong,M4,0.043685358031493426,0.0009317354766601957,0.044882518159872785,1.1549537785204318,3.197933046061632,1.0
0,10,30,1,vy,moderate,M1,0.03549705199958912,0.0007879885797826715,0.03627491911291983,0.7631653669041807,2.122696941475645,1.0
0,10,30,1,vy,moderate,M2,0.035504992056131626,0.0007906876681352004,0.036499283920313166,0.763165285055376,2.1228591154477257,1.0
0,10,30,1,vy,moderate,M3,0.026400134853730623,0.0005660228979253472,0.027026810252705293,0.7628946683233957,2.1325097518934046,1.0
0,10,30,1,vy,moderate,M4,0.026420003035014166,0.000568758039101122,0.027170319689146828,0.7628948529430353,2.1326878462066863,1.0
0,10,30,1,vy,near_linear,M1,0.017254020872356883,0.00037995715650441207,0.017629579191988147,0.3795188933933308,1.0609175849034262,1.0
0,10,30,1,vy,near_linear,M2,0.017258223659730614,0.00038110817765811615,0.01773807102232822,0.37951889164763686,1.0609979629689543,1.0
0,10,30,1,vy,near_linear,M3,0.012630503703555446,0.0002722557966361785,0.012938048840471885,0.37939767457519846,1.0658250684980566,1.0
0,10,30,1,vy,near_linear,M4,0.01264047204368898,0.0002736164750935197,0.013005013694379158,0.37939779218228276,1.0659167616085483,1.0
0,10,30,1,vy,strong,M1,0.05706047790674736,0.0012734262845864603,0.058305050336409224,1.1553003610238677,3.1844661191826287,1.0
0,10,30,1,vy,strong,M2,0.05707158960654305,0.0012783264774812216,0.058670822632336736,1.1553000296679585,3.1847085247267115,1.0
0,10,30,1,vy,strong,M3,0.04377285227275544,0.0009350293928417921,0.04474640809504727,1.1548196661578163,3.199023415370737,1.0
0,10,30,1,vy,strong,M4,0.04380253071647973,0.0009387728287786025,0.04500762285438551,1.1548198125863296,3.1992877297166484,1.0
