family,speed_mps,maneuver,peak_abs_beta_deg,peak_abs_yaw_rate_deg_s,rms_beta_deg,rms_yaw_rate_deg_s,final_beta_deg,final_yaw_rate_deg_s,duration_s
nominal,12.0,step,0.2133810577659114,3.772143593175812,0.13485810224502617,3.5843536267493916,0.13901345291479797,3.766816143497759,12.0
nominal,12.0,sine_sweep,0.24020065447624767,3.7078902042266972,0.14631237927102875,2.4238041993309394,0.14614172339353831,0.44819187153349677,12.0
nominal,12.0,lane_change,0.3410010204181399,5.656353092179429,0.1253189115740742,2.754282743328449,-1.331230351296476e-27,2.7028611529889956e-27,12.0
nominal,20.0,step,0.4193476543376663,5.331326379584635,0.391113648687848,4.9167229101024095,-0.4169741697416949,5.166051660516594,12.0
nominal,20.0,sine_sweep,0.41451851560466485,5.173609137357825,0.2563016106506235,3.343711921992954,0.2527415433940103,-0.20890713334528632,12.0
nominal,20.0,lane_change,0.7128313782177355,8.115984159900021,0.3047665996610865,3.8442228118837063,4.037589014340519e-18,-4.826453599390569e-16,12.0
nominal,28.0,step,0.9827507981611688,6.34954286074465,0.9004888528538282,5.458518999727099,-0.9591836734693876,5.714285714285724,12.0
nominal,28.0,sine_sweep,0.9249432037909513,6.3136347811762965,0.5015573994151935,4.003813757698062,0.3349860541469797,-0.7761707035771311,12.0
nominal,28.0,lane_change,1.4984342775941581,10.172494811495906,0.6783273686538831,4.535170656244359,4.935682384765455e-12,-1.552788567634681e-11,12.0
heavy,12.0,step,0.1999372004830824,3.80418085035848,0.08573419775476375,3.6113184927035937,0.08524177137504452,3.7985723053070175,12.0
heavy,12.0,sine_sweep,0.24399816510195926,3.720521224340775,0.14404201983180473,2.3814709384898545,0.1509252505123036,0.20702575685977048,12.0
heavy,12.0,lane_change,0.3644190419330055,5.706000213913774,0.10798732764538724,2.758072218684606,7.132224362501746e-24,7.420169766402778e-24,12.0
heavy,20.0,step,0.5547705515969763,5.42207334897795,0.5164745767187471,5.006886869333869,-0.5520623404541157,5.266693537552056,12.0
heavy,20.0,sine_sweep,0.5331287976442863,5.2515325813300135,0.3042002934085765,3.2629372200896762,0.24293379725388894,-0.47748244907557974,12.0
heavy,20.0,lane_change,0.9096818111837223,8.274787742906225,0.3898644603713631,3.889113893514196,-3.538696199088756e-16,6.853667687921333e-14,12.0
heavy,28.0,step,1.2134688234712265,6.492678859403598,1.1110518961440885,5.619911694523202,-1.187171398527868,5.88853838065196,12.0
heavy,28.0,sine_sweep,1.1167261661810612,6.406206036092898,0.5639209521302033,3.8915489787279354,0.29828967095810915,-0.9686261412686599,12.0
heavy,28.0,lane_change,1.8509590893821943,10.445125074167658,0.8149984971641295,4.667422219101496,-1.5561428130206255e-10,7.180503437273453e-10,12.0
handling,12.0,step,0.21198824473646358,3.506879305774779,0.16814096313403648,3.3317950354431267,0.17515622041280077,3.4993372467335715,12.0
handling,12.0,sine_sweep,0.2214492025968953,3.4565487271767057,0.14468801703736006,2.2918696360229442,0.12133392305695896,0.5614634673010115,12.0
handling,12.0,lane_change,0.31594086636676044,5.2558777002807355,0.1395868682759573,2.571427763967302,1.2648609935921015e-30,1.0789182846440759e-29,12.0
handling,20.0,step,0.2626925441968603,4.647416679185434,0.2433718568602623,4.193621040586747,-0.2585788396554177,4.397696444719424,12.0
handling,20.0,sine_sweep,0.27722096930792106,4.515994046704383,0.1857860012963641,3.054158165655434,0.226578237543778,0.1276085609370512,12.0
handling,20.0,lane_change,0.4736162028804411,7.094460812884455,0.1987010593373952,3.3335302235400643,1.5315476182972343e-18,-3.0674968422365087e-18,12.0
handling,28.0,step,0.6482057369841147,5.315459081752903,0.5819937649722143,4.30969430275249,-0.6169384278413234,4.49744463373083,12.0
handling,28.0,sine_sweep,0.6184321433635579,5.5069179123775625,0.3783809639112518,3.5936308271068844,0.33320124593548095,-0.3449889732156291,12.0
handling,28.0,lane_change,0.9968671638880681,8.624925246028635,0.45773937691482847,3.666269052570276,1.6130388681015336e-13,1.0942607019763076e-12,12.0
